T_y,T_z,T_y_uK,T_z_uK,Transmission
0.0,0.0,0.0,0.0,0.1805162977231847
0.0,4.081632653061224e-06,0.0,4.081632653061225,0.18269798641823393
0.0,8.163265306122448e-06,0.0,8.16326530612245,0.1849386387767872
0.0,1.2244897959183674e-05,0.0,12.244897959183675,0.18722670161660906
0.0,1.6326530612244897e-05,0.0,16.3265306122449,0.18971000951425834
0.0,2.0408163265306123e-05,0.0,20.408163265306122,0.1920362354434361
0.0,2.448979591836735e-05,0.0,24.48979591836735,0.1945870884816034
0.0,2.857142857142857e-05,0.0,28.571428571428573,0.19700381126421912
0.0,3.265306122448979e-05,0.0,32.6530612244898,0.1997221253226248
0.0,3.673469387755102e-05,0.0,36.734693877551024,0.202269743007152
0.0,4.0816326530612245e-05,0.0,40.816326530612244,0.20511188605706449
0.0,4.489795918367347e-05,0.0,44.89795918367347,0.20768146719415873
0.0,4.89795918367347e-05,0.0,48.9795918367347,0.21026408939605892
0.0,5.306122448979592e-05,0.0,53.06122448979592,0.21346145808900904
0.0,5.714285714285714e-05,0.0,57.142857142857146,0.21595943019434896
0.0,6.122448979591836e-05,0.0,61.224489795918366,0.2187737862637585
0.0,6.530612244897959e-05,0.0,65.3061224489796,0.22168609072829298
0.0,6.938775510204081e-05,0.0,69.38775510204081,0.2249491622792559
0.0,7.346938775510205e-05,0.0,73.46938775510205,0.2275354900285545
0.0,7.755102040816327e-05,0.0,77.55102040816327,0.23046756278165056
0.0,8.163265306122449e-05,0.0,81.63265306122449,0.23382270686073672
0.0,8.571428571428571e-05,0.0,85.71428571428572,0.23639525201174721
0.0,8.979591836734694e-05,0.0,89.79591836734694,0.2393107235744889
0.0,9.387755102040816e-05,0.0,93.87755102040816,0.24257947148619452
0.0,9.79591836734694e-05,0.0,97.9591836734694,0.24460638278043614
0.0,0.00010204081632653062,0.0,102.04081632653062,0.24865373817831038
0.0,0.00010612244897959184,0.0,106.12244897959184,0.25136026238929354
0.0,0.00011020408163265305,0.0,110.20408163265306,0.25447428143651796
0.0,0.00011428571428571428,0.0,114.28571428571429,0.2569308873876444
0.0,0.0001183673469387755,0.0,118.36734693877551,0.259999637000687
0.0,0.00012244897959183673,0.0,122.44897959183673,0.2627008085712896
0.0,0.00012653061224489795,0.0,126.53061224489797,0.26558052750606764
0.0,0.00013061224489795917,0.0,130.6122448979592,0.2687676204889593
0.0,0.00013469387755102042,0.0,134.69387755102042,0.27248107046551545
0.0,0.00013877551020408162,0.0,138.77551020408163,0.2747704267731211
0.0,0.00014285714285714287,0.0,142.85714285714286,0.27700953468769013
0.0,0.0001469387755102041,0.0,146.9387755102041,0.27937132513703267
0.0,0.00015102040816326529,0.0,151.0204081632653,0.28236923457376095
0.0,0.00015510204081632654,0.0,155.10204081632654,0.28609215278147015
0.0,0.00015918367346938776,0.0,159.18367346938777,0.2892713345017464
0.0,0.00016326530612244898,0.0,163.26530612244898,0.29096963298830464
0.0,0.0001673469387755102,0.0,167.3469387755102,0.29384530745086934
0.0,0.00017142857142857143,0.0,171.42857142857144,0.29658049668947906
0.0,0.00017551020408163265,0.0,175.51020408163265,0.2989537706520009
0.0,0.00017959183673469387,0.0,179.59183673469389,0.3019690287782091
0.0,0.00018367346938775512,0.0,183.67346938775512,0.3043783265255864
0.0,0.00018775510204081632,0.0,187.75510204081633,0.30766935217367375
0.0,0.00019183673469387754,0.0,191.83673469387756,0.3110000938219905
0.0,0.0001959183673469388,0.0,195.9183673469388,0.31293029806373657
0.0,0.00019999999999999998,0.0,200.0,0.31501149646211163
0.000125,0.0,125.0,0.0,0.18095702228451271
0.000125,4.081632653061224e-06,125.0,4.081632653061225,0.18314115772450495
0.000125,8.163265306122448e-06,125.0,8.16326530612245,0.18539247623296382
0.000125,1.2244897959183674e-05,125.0,12.244897959183675,0.1876733683529369
0.000125,1.6326530612244897e-05,125.0,16.3265306122449,0.19011204597317774
0.000125,2.0408163265306123e-05,125.0,20.408163265306122,0.19254924261948758
0.000125,2.448979591836735e-05,125.0,24.48979591836735,0.19494019745666272
0.000125,2.857142857142857e-05,125.0,28.571428571428573,0.1975353729896211
0.000125,3.265306122448979e-05,125.0,32.6530612244898,0.20019790597326761
0.000125,3.673469387755102e-05,125.0,36.734693877551024,0.2027492584955351
0.000125,4.0816326530612245e-05,125.0,40.816326530612244,0.20531869979366363
0.000125,4.489795918367347e-05,125.0,44.89795918367347,0.2081284761461753
0.000125,4.89795918367347e-05,125.0,48.9795918367347,0.2112349911097957
0.000125,5.306122448979592e-05,125.0,53.06122448979592,0.2136275707015046
0.000125,5.714285714285714e-05,125.0,57.142857142857146,0.21645227897359365
0.000125,6.122448979591836e-05,125.0,61.224489795918366,0.21947126665475597
0.000125,6.530612244897959e-05,125.0,65.3061224489796,0.22213501967801835
0.000125,6.938775510204081e-05,125.0,69.38775510204081,0.22503587566517164
0.000125,7.346938775510205e-05,125.0,73.46938775510205,0.22777117076850315
0.000125,7.755102040816327e-05,125.0,77.55102040816327,0.2309272998243219
0.000125,8.163265306122449e-05,125.0,81.63265306122449,0.2342934315438761
0.000125,8.571428571428571e-05,125.0,85.71428571428572,0.23695454495753296
0.000125,8.979591836734694e-05,125.0,89.79591836734694,0.24038594794339913
0.000125,9.387755102040816e-05,125.0,93.87755102040816,0.2434114286128397
0.000125,9.79591836734694e-05,125.0,97.9591836734694,0.2460259081982693
0.000125,0.00010204081632653062,125.0,102.04081632653062,0.2484244176019415
0.000125,0.00010612244897959184,125.0,106.12244897959184,0.25187565739783135
0.000125,0.00011020408163265305,125.0,110.20408163265306,0.2549150575397948
0.000125,0.00011428571428571428,125.0,114.28571428571429,0.2575458670783415
0.000125,0.0001183673469387755,125.0,118.36734693877551,0.26124172680065827
0.000125,0.00012244897959183673,125.0,122.44897959183673,0.2633609435678017
0.000125,0.00012653061224489795,125.0,126.53061224489797,0.26584057387047577
0.000125,0.00013061224489795917,125.0,130.6122448979592,0.26934095228904126
0.000125,0.00013469387755102042,125.0,134.69387755102042,0.27158787438563703
0.000125,0.00013877551020408162,125.0,138.77551020408163,0.2749896658540828
0.000125,0.00014285714285714287,125.0,142.85714285714286,0.2782636359539093
0.000125,0.0001469387755102041,125.0,146.9387755102041,0.28132176948972565
0.000125,0.00015102040816326529,125.0,151.0204081632653,0.2838514776927023
0.000125,0.00015510204081632654,125.0,155.10204081632654,0.28653036115441655
0.000125,0.00015918367346938776,125.0,159.18367346938777,0.2890723094535707
0.000125,0.00016326530612244898,125.0,163.26530612244898,0.29140738665829585
0.000125,0.0001673469387755102,125.0,167.3469387755102,0.29332714073637867
0.000125,0.00017142857142857143,125.0,171.42857142857144,0.2971583793503484
0.000125,0.00017551020408163265,125.0,175.51020408163265,0.300668766666813
0.000125,0.00017959183673469387,125.0,179.59183673469389,0.3025131680130424
0.000125,0.00018367346938775512,125.0,183.67346938775512,0.3056233866535135
0.000125,0.00018775510204081632,125.0,187.75510204081633,0.3074779103514892
0.000125,0.00019183673469387754,125.0,191.83673469387756,0.3105028870221099
0.000125,0.0001959183673469388,125.0,195.9183673469388,0.3130385207584344
0.000125,0.00019999999999999998,125.0,200.0,0.3161509499433485
0.00025,0.0,250.0,0.0,0.1814022690839437
0.00025,4.081632653061224e-06,250.0,4.081632653061225,0.18357125854996462
0.00025,8.163265306122448e-06,250.0,8.16326530612245,0.18585734736068685
0.00025,1.2244897959183674e-05,250.0,12.244897959183675,0.18818893261661682
0.00025,1.6326530612244897e-05,250.0,16.3265306122449,0.1905267175820388
0.00025,2.0408163265306123e-05,250.0,20.408163265306122,0.19302880434057118
0.00025,2.448979591836735e-05,250.0,24.48979591836735,0.19542980268100615
0.00025,2.857142857142857e-05,250.0,28.571428571428573,0.19778068691758047
0.00025,3.265306122448979e-05,250.0,32.6530612244898,0.20041978279739683
0.00025,3.673469387755102e-05,250.0,36.734693877551024,0.2033164918209941
0.00025,4.0816326530612245e-05,250.0,40.816326530612244,0.205909688646867
0.00025,4.489795918367347e-05,250.0,44.89795918367347,0.20871255176219383
0.00025,4.89795918367347e-05,250.0,48.9795918367347,0.21171280827847463
0.00025,5.306122448979592e-05,250.0,53.06122448979592,0.21409482405938404
0.00025,5.714285714285714e-05,250.0,57.142857142857146,0.21687360281760182
0.00025,6.122448979591836e-05,250.0,61.224489795918366,0.21978949353469404
0.00025,6.530612244897959e-05,250.0,65.3061224489796,0.22260400416608092
0.00025,6.938775510204081e-05,250.0,69.38775510204081,0.22569939113912732
0.00025,7.346938775510205e-05,250.0,73.46938775510205,0.2285150788226566
0.00025,7.755102040816327e-05,250.0,77.55102040816327,0.23158061036788816
0.00025,8.163265306122449e-05,250.0,81.63265306122449,0.23485413276155015
0.00025,8.571428571428571e-05,250.0,85.71428571428572,0.2370734033714817
0.00025,8.979591836734694e-05,250.0,89.79591836734694,0.24042675142539927
0.00025,9.387755102040816e-05,250.0,93.87755102040816,0.24308673878399037
0.00025,9.79591836734694e-05,250.0,97.9591836734694,0.2462112715319844
0.00025,0.00010204081632653062,250.0,102.04081632653062,0.24943446479329215
0.00025,0.00010612244897959184,250.0,106.12244897959184,0.2528104535350338
0.00025,0.00011020408163265305,250.0,110.20408163265306,0.25488634594463766
0.00025,0.00011428571428571428,250.0,114.28571428571429,0.2587389354263931
0.00025,0.0001183673469387755,250.0,118.36734693877551,0.2615395479820903
0.00025,0.00012244897959183673,250.0,122.44897959183673,0.26352594563557685
0.00025,0.00012653061224489795,250.0,126.53061224489797,0.2669135422231226
0.00025,0.00013061224489795917,250.0,130.6122448979592,0.2694513641213522
0.00025,0.00013469387755102042,250.0,134.69387755102042,0.27197069760887127
0.00025,0.00013877551020408162,250.0,138.77551020408163,0.27519210606245387
0.00025,0.00014285714285714287,250.0,142.85714285714286,0.2781554236544307
0.00025,0.0001469387755102041,250.0,146.9387755102041,0.28159698277571893
0.00025,0.00015102040816326529,250.0,151.0204081632653,0.2845243245388853
0.00025,0.00015510204081632654,250.0,155.10204081632654,0.28688078032143555
0.00025,0.00015918367346938776,250.0,159.18367346938777,0.2901353053789888
0.00025,0.00016326530612244898,250.0,163.26530612244898,0.29244891630205166
0.00025,0.0001673469387755102,250.0,167.3469387755102,0.2950099634745305
0.00025,0.00017142857142857143,250.0,171.42857142857144,0.29767403693906497
0.00025,0.00017551020408163265,250.0,175.51020408163265,0.30000965564101234
0.00025,0.00017959183673469387,250.0,179.59183673469389,0.3033700915869462
0.00025,0.00018367346938775512,250.0,183.67346938775512,0.3060502754438388
0.00025,0.00018775510204081632,250.0,187.75510204081633,0.3082177623146374
0.00025,0.00019183673469387754,250.0,191.83673469387756,0.31105546487943275
0.00025,0.0001959183673469388,250.0,195.9183673469388,0.31360559278893985
0.00025,0.00019999999999999998,250.0,200.0,0.3153749132160578
0.000375,0.0,375.0,0.0,0.1818325293849169
0.000375,4.081632653061224e-06,375.0,4.081632653061225,0.18406304315842673
0.000375,8.163265306122448e-06,375.0,8.16326530612245,0.18629957002726552
0.000375,1.2244897959183674e-05,375.0,12.244897959183675,0.18866502512372144
0.000375,1.6326530612244897e-05,375.0,16.3265306122449,0.19104558956886075
0.000375,2.0408163265306123e-05,375.0,20.408163265306122,0.19349044766851695
0.000375,2.448979591836735e-05,375.0,24.48979591836735,0.19592533308003804
0.000375,2.857142857142857e-05,375.0,28.571428571428573,0.19839207308553142
0.000375,3.265306122448979e-05,375.0,32.6530612244898,0.2009399235109739
0.000375,3.673469387755102e-05,375.0,36.734693877551024,0.2037023352284468
0.000375,4.0816326530612245e-05,375.0,40.816326530612244,0.20646442161001374
0.000375,4.489795918367347e-05,375.0,44.89795918367347,0.20923975436192965
0.000375,4.89795918367347e-05,375.0,48.9795918367347,0.2118989247328548
0.000375,5.306122448979592e-05,375.0,53.06122448979592,0.2146385393618286
0.000375,5.714285714285714e-05,375.0,57.142857142857146,0.21736942069808288
0.000375,6.122448979591836e-05,375.0,61.224489795918366,0.22021011669627302
0.000375,6.530612244897959e-05,375.0,65.3061224489796,0.22326765421676456
0.000375,6.938775510204081e-05,375.0,69.38775510204081,0.22632620826004402
0.000375,7.346938775510205e-05,375.0,73.46938775510205,0.22895515352695112
0.000375,7.755102040816327e-05,375.0,77.55102040816327,0.2322316957391612
0.000375,8.163265306122449e-05,375.0,81.63265306122449,0.23475954171294194
0.000375,8.571428571428571e-05,375.0,85.71428571428572,0.23799335542582828
0.000375,8.979591836734694e-05,375.0,89.79591836734694,0.24123323156318044
0.000375,9.387755102040816e-05,375.0,93.87755102040816,0.24418774881537297
0.000375,9.79591836734694e-05,375.0,97.9591836734694,0.24640537356977657
0.000375,0.00010204081632653062,375.0,102.04081632653062,0.2505360238842782
0.000375,0.00010612244897959184,375.0,106.12244897959184,0.25262911755892853
0.000375,0.00011020408163265305,375.0,110.20408163265306,0.2560878308017434
0.000375,0.00011428571428571428,375.0,114.28571428571429,0.2588144040333278
0.000375,0.0001183673469387755,375.0,118.36734693877551,0.2606957261862114
0.000375,0.00012244897959183673,375.0,122.44897959183673,0.26456487787605
0.000375,0.00012653061224489795,375.0,126.53061224489797,0.2673526687670755
0.000375,0.00013061224489795917,375.0,130.6122448979592,0.2704908269116834
0.000375,0.00013469387755102042,375.0,134.69387755102042,0.2723304554103543
0.000375,0.00013877551020408162,375.0,138.77551020408163,0.276365599789748
0.000375,0.00014285714285714287,375.0,142.85714285714286,0.2790269317375293
0.000375,0.0001469387755102041,375.0,146.9387755102041,0.28163278411017567
0.000375,0.00015102040816326529,375.0,151.0204081632653,0.2848175826406775
0.000375,0.00015510204081632654,375.0,155.10204081632654,0.2862839685511816
0.000375,0.00015918367346938776,375.0,159.18367346938777,0.2899837562358899
0.000375,0.00016326530612244898,375.0,163.26530612244898,0.2933765997696875
0.000375,0.0001673469387755102,375.0,167.3469387755102,0.2955604913298982
0.000375,0.00017142857142857143,375.0,171.42857142857144,0.29874502260519376
0.000375,0.00017551020408163265,375.0,175.51020408163265,0.3012286874760397
0.000375,0.00017959183673469387,375.0,179.59183673469389,0.30413491245420143
0.000375,0.00018367346938775512,375.0,183.67346938775512,0.3059122202357889
0.000375,0.00018775510204081632,375.0,187.75510204081633,0.30885872096680456
0.000375,0.00019183673469387754,375.0,191.83673469387756,0.31249876541881666
0.000375,0.0001959183673469388,375.0,195.9183673469388,0.3139183709421566
0.000375,0.00019999999999999998,375.0,200.0,0.31655817160435845
0.0005,0.0,500.0,0.0,0.1823029960780429
0.0005,4.081632653061224e-06,500.0,4.081632653061225,0.1844912748676642
0.0005,8.163265306122448e-06,500.0,8.16326530612245,0.18677011563422988
0.0005,1.2244897959183674e-05,500.0,12.244897959183675,0.18915714412376178
0.0005,1.6326530612244897e-05,500.0,16.3265306122449,0.19147952176101243
0.0005,2.0408163265306123e-05,500.0,20.408163265306122,0.19387203122684357
0.0005,2.448979591836735e-05,500.0,24.48979591836735,0.19630992819424356
0.0005,2.857142857142857e-05,500.0,28.571428571428573,0.19884717597871518
0.0005,3.265306122448979e-05,500.0,32.6530612244898,0.20163529405207603
0.0005,3.673469387755102e-05,500.0,36.734693877551024,0.2042029778310969
0.0005,4.0816326530612245e-05,500.0,40.816326530612244,0.20698253245788853
0.0005,4.489795918367347e-05,500.0,44.89795918367347,0.20970556588331013
0.0005,4.89795918367347e-05,500.0,48.9795918367347,0.2125517609210812
0.0005,5.306122448979592e-05,500.0,53.06122448979592,0.2153699679635786
0.0005,5.714285714285714e-05,500.0,57.142857142857146,0.2182393093112175
0.0005,6.122448979591836e-05,500.0,61.224489795918366,0.2207461082524212
0.0005,6.530612244897959e-05,500.0,65.3061224489796,0.22373967947622542
0.0005,6.938775510204081e-05,500.0,69.38775510204081,0.22685339996001233
0.0005,7.346938775510205e-05,500.0,73.46938775510205,0.22968987955357859
0.0005,7.755102040816327e-05,500.0,77.55102040816327,0.23247620359458865
0.0005,8.163265306122449e-05,500.0,81.63265306122449,0.23548174155815293
0.0005,8.571428571428571e-05,500.0,85.71428571428572,0.23890065922811984
0.0005,8.979591836734694e-05,500.0,89.79591836734694,0.24122549343722524
0.0005,9.387755102040816e-05,500.0,93.87755102040816,0.24455766025561843
0.0005,9.79591836734694e-05,500.0,97.9591836734694,0.247240770097035
0.0005,0.00010204081632653062,500.0,102.04081632653062,0.2502664066170648
0.0005,0.00010612244897959184,500.0,106.12244897959184,0.2532748543281623
0.0005,0.00011020408163265305,500.0,110.20408163265306,0.25594929233872127
0.0005,0.00011428571428571428,500.0,114.28571428571429,0.25855170292785506
0.0005,0.0001183673469387755,500.0,118.36734693877551,0.26208551237100813
0.0005,0.00012244897959183673,500.0,122.44897959183673,0.2650892112019928
0.0005,0.00012653061224489795,500.0,126.53061224489797,0.2673118036195308
0.0005,0.00013061224489795917,500.0,130.6122448979592,0.2706737545546235
0.0005,0.00013469387755102042,500.0,134.69387755102042,0.27396434361458427
0.0005,0.00013877551020408162,500.0,138.77551020408163,0.27598407451932805
0.0005,0.00014285714285714287,500.0,142.85714285714286,0.2789217779004443
0.0005,0.0001469387755102041,500.0,146.9387755102041,0.2821099485859946
0.0005,0.00015102040816326529,500.0,151.0204081632653,0.28436077355047346
0.0005,0.00015510204081632654,500.0,155.10204081632654,0.28836078477880844
0.0005,0.00015918367346938776,500.0,159.18367346938777,0.289548446080738
0.0005,0.00016326530612244898,500.0,163.26530612244898,0.2936001176746058
0.0005,0.0001673469387755102,500.0,167.3469387755102,0.2962504657481635
0.0005,0.00017142857142857143,500.0,171.42857142857144,0.2994277759137534
0.0005,0.00017551020408163265,500.0,175.51020408163265,0.30141081356859445
0.0005,0.00017959183673469387,500.0,179.59183673469389,0.30470606029761077
0.0005,0.00018367346938775512,500.0,183.67346938775512,0.30676756129116245
0.0005,0.00018775510204081632,500.0,187.75510204081633,0.3104680166818591
0.0005,0.00019183673469387754,500.0,191.83673469387756,0.31273410274656804
0.0005,0.0001959183673469388,500.0,195.9183673469388,0.31568145494614924
0.0005,0.00019999999999999998,500.0,200.0,0.31806416390435305
